SBI ,Airtel,Aarti Industries
513.700012,675.846008,758.593689
517.799988,675.39801,768.227722
514.200012,681.072754,744.916382
528.200012,671.913513,755.299133
532.450012,663.899109,762.237671
528.349976,674.950012,778.810181
533.75,694.450012,800.923584
542.099976,686.799988,811.10675
540.849976,693.150024,809.359619
533.25,694.299988,808.011841
531.049988,703.650024,812.953674
520.400024,704.349976,802.171509
514.700012,715.25,818.44458
524.75,709.799988,814.001892
530.700012,709.700012,816.996948
525.950012,704.099976,830.873962
528.150024,722.950012,830.32489
532.349976,733.200012,829.675964
520.349976,732.299988,813.652527
511.299988,727.599976,785.349426
521.900024,737.599976,789.542419
519.299988,738.75,785.099792
520.400024,741,790.191345
523.799988,730.849976,807.812195
514.849976,720.599976,808.710693
531.25,726.599976,829.326538
533.299988,735.049988,833.669312
536.700012,735,836.514648
538.900024,740.400024,843.702698
537.799988,761.25,847.995667
532.849976,753.099976,847.097107
544.650024,769.799988,853.436584
553.349976,765.75,858.378418
554.900024,769.150024,887.180725
558,784.25,893.021057
571.75,783.349976,906.898071
572.150024,785.099976,905.75
561.799988,779.650024,884.799988
572.25,782.75,865.950012
574.049988,792.150024,875.299988
569.700012,780.200012,862
567.299988,784.099976,876.400024
550.599976,771.349976,854.950012
543.299988,755.049988,812.450012
536.5,760.599976,804.450012
524.849976,761.450012,781.200012
521.75,764.650024,733.849976
530.599976,799.900024,745.049988
519.75,803.349976,738.599976
532.700012,808.700012,771.5
537.299988,788.599976,787.099976
530.200012,793.099976,773.75
530.75,792.349976,769.5
527.400024,780.299988,763.200012
533.799988,775.549988,772.5
521.450012,768.900024,781.849976
527.200012,765.950012,780.5
543.650024,766,788.049988
562.450012,783.150024,744.900024
553.400024,783.400024,683.349976
555.400024,792.900024,686.599976
560.849976,797.450012,677.900024
570.5,802.099976,687.049988
578.549988,802.299988,687.150024
579.650024,817.099976,691.650024
570.75,816.849976,691.900024
573.799988,832,699.099976
576.900024,835.549988,718.5
573.849976,809.849976,724.5
584.900024,818.650024,730.700012
593.950012,816.400024,733.650024
614.150024,822.700012,736.5
615.549988,819.049988,733.049988
605.75,825.75,708.200012
601.299988,826.900024,715.799988
592.549988,821.900024,705.5
600.849976,835.25,705.900024
599.75,841.200012,676.700012
599.049988,846.150024,655.599976
602.700012,837.299988,653.400024
598.099976,851.200012,669.349976
599.099976,847.599976,672.450012
607.650024,843.25,662
609.349976,848.349976,657.450012
607.400024,846.849976,664.400024
608.599976,837.400024,671.450012
608.549988,835.849976,669.650024
602.450012,848.75,674.599976
608.099976,848.599976,674.599976
607.549988,848.650024,673.900024
617.299988,844.099976,674.799988
608.950012,833.349976,669.650024
607.049988,834,663.150024
611.650024,832.599976,662.049988
616.5,834.900024,657.450012
613.049988,828.400024,656.349976
616.75,838.049988,654
625.5,829.200012,658.75
615.950012,826.349976,640
603.349976,822.75,629.099976
604.450012,840.400024,625.099976
604.450012,828.950012,619.900024
593.400024,814,618.599976
593.400024,816.599976,611.400024
574,808.650024,590.849976
597.099976,811,608.099976
601.900024,814.799988,618.150024
601.049988,803.799988,617.799988
611.799988,820.75,610.900024
613.700012,806.099976,610.099976
612.200012,813.5,610.799988
612.400024,817.599976,616.799988
605.200012,811.799988,607.900024
605.099976,807.099976,606.400024
600.650024,796,599.049988
607.700012,819.400024,600.049988
595.150024,792.849976,597.099976
596.700012,765.549988,591.950012
594.900024,756.900024,592.400024
600.099976,764.299988,581.549988
603,759.150024,570.200012
592.950012,765.700012,573.549988
591.450012,776.549988,578.599976
589.849976,772,568.299988
592.200012,764.450012,556.599976
600.450012,772.700012,554.599976
594.349976,775.650024,551.25
568.700012,776.5,533
